id;user_name;user_email;user_role;user_phone;user_status
1;digital calculate access;Cotton RSS Communications;USER;calculate Tugrik Franc;ACTIVE
2;Configuration;copying;ADMIN;metrics;ACTIVE
3;maroon;Cambridgeshire haptic;ADMIN;driver payment;SUSPENDED
4;lime;Salad Planner Mongolia;ADMIN;sensor groupware Awesome;ACTIVE
5;Functionality AGP;Mississippi Up-sized Western;USER;withdrawal client-server;ACTIVE
6;architect Chicken Concrete;turquoise GB withdrawal;USER;Jewelery Account heuristic;SUSPENDED
7;HTTP Missouri navigate;invoice;USER;Industrial;ACTIVE
8;compressing Plains Supervisor;Market THX;ADMIN;Diverse;ACTIVE
9;Virginia Taiwan transmit;program Berkshire;USER;Future-proofed;SUSPENDED
10;Illinois Technician invoice;bluetooth French Saint;USER;connecting Movies;SUSPENDED
