id;user_name;user_email;user_role;user_phone;user_status
1;secondary Soft RSS;Shoes;USER;Administrator Usability;ACTIVE
2;Dynamic Pizza;viral SMTP Sharable;ADMIN;convergence methodology programming;SUSPENDED
3;Ball Expanded copy;Shoal;USER;asynchronous;SUSPENDED
4;Buckinghamshire;Dynamic projection Officer;ADMIN;Ecuador;ACTIVE
5;Malaysian Legacy granular;systems FTP;ADMIN;Chair transitional;ACTIVE
6;Checking Brand salmon;Toys Senior Granite;ADMIN;magenta e-tailers;SUSPENDED
7;Taiwan interface standardization;Accounts;USER;Niger ivory;SUSPENDED
8;compressing systems;Director;ADMIN;Jewelery;ACTIVE
9;pink turquoise Incredible;Senior invoice parsing;ADMIN;Pants Borders payment;SUSPENDED
10;Manager;Borders;ADMIN;bypass Illinois;ACTIVE
